"city","total_revenue","revenue_per_cust"
"NDjamna","122.72","122.7200000000000000"
"Kakamigahara","122.71","122.7100000000000000"
"Lapu-Lapu","122.70","122.7000000000000000"
"Lhokseumawe","122.69","122.6900000000000000"
"Vijayawada","121.77","121.7700000000000000"
"Lilongwe","121.73","121.7300000000000000"
"York","121.73","121.7300000000000000"
"El Fuerte","121.70","121.7000000000000000"
"Kitwe","121.70","121.7000000000000000"
"Mit Ghamr","120.75","120.7500000000000000"
"Sawhaj","120.74","120.7400000000000000"
"Kirovo-Tepetsk","120.74","120.7400000000000000"
"Brindisi","120.71","120.7100000000000000"
"Lima","120.70","120.7000000000000000"
"Mysore","119.76","119.7600000000000000"
"Emeishan","119.75","119.7500000000000000"
"Pjatigorsk","119.74","119.7400000000000000"
"Sungai Petani","119.72","119.7200000000000000"
"Nuuk","119.72","119.7200000000000000"
"Simferopol","118.76","118.7600000000000000"
"Yerevan","118.75","118.7500000000000000"
"Loja","118.75","118.7500000000000000"
"Hunuco","118.73","118.7300000000000000"
"Toulouse","118.70","118.7000000000000000"
"Jastrzebie-Zdrj","118.70","118.7000000000000000"
"Botosani","118.69","118.6900000000000000"
"Otsu","117.77","117.7700000000000000"
"Southampton","117.77","117.7700000000000000"
"Quilmes","117.76","117.7600000000000000"
"Joliet","117.75","117.7500000000000000"
"Pudukkottai","117.75","117.7500000000000000"
"Zhezqazghan","117.72","117.7200000000000000"
"Jedda","116.76","116.7600000000000000"
"Brockton","116.75","116.7500000000000000"
"Miyakonojo","116.74","116.7400000000000000"
"Mandaluyong","116.73","116.7300000000000000"
"Karnal","116.73","116.7300000000000000"
"Baybay","116.72","116.7200000000000000"
"Satna","116.71","116.7100000000000000"
"Papeete","115.74","115.7400000000000000"
"Bhimavaram","115.72","115.7200000000000000"
"Korolev","115.71","115.7100000000000000"
"Greensboro","115.70","115.7000000000000000"
"Tabriz","114.76","114.7600000000000000"
"Iwakuni","114.74","114.7400000000000000"
"Banjul","114.73","114.7300000000000000"
"Portoviejo","114.73","114.7300000000000000"
"Cavite","114.72","114.7200000000000000"
"Merlo","114.72","114.7200000000000000"
"Sasebo","114.70","114.7000000000000000"
"Naala-Porto","113.77","113.7700000000000000"
"Brescia","113.75","113.7500000000000000"
"Salzburg","113.74","113.7400000000000000"
"Tiefa","113.74","113.7400000000000000"
"Leshan","113.73","113.7300000000000000"
"Touliu","113.73","113.7300000000000000"
"Dadu","113.72","113.7200000000000000"
"Sorocaba","113.71","113.7100000000000000"
"Datong","113.70","113.7000000000000000"
"Huejutla de Reyes","112.76","112.7600000000000000"
"Ruse","112.76","112.7600000000000000"
"Lincoln","112.75","112.7500000000000000"
"Jhansi","112.74","112.7400000000000000"
"Mukateve","112.73","112.7300000000000000"
"Shaoguan","112.72","112.7200000000000000"
"Maracabo","111.77","111.7700000000000000"
"Ambattur","111.76","111.7600000000000000"
"Onomichi","111.76","111.7600000000000000"
"Tanshui","111.74","111.7400000000000000"
"Graz","111.73","111.7300000000000000"
"Cuman","111.73","111.7300000000000000"
"Mosul","111.73","111.7300000000000000"
"Pak Kret","111.71","111.7100000000000000"
"Haldia","111.71","111.7100000000000000"
"Kuwana","110.77","110.7700000000000000"
"Baiyin","110.76","110.7600000000000000"
"Santiago de los Caballeros","110.76","110.7600000000000000"
"Coquimbo","110.74","110.7400000000000000"
"Taizz","110.73","110.7300000000000000"
"Yuncheng","110.73","110.7300000000000000"
"Bilbays","110.72","110.7200000000000000"
"Meixian","110.72","110.7200000000000000"
"Jinzhou","110.71","110.7100000000000000"
"Tonghae","109.77","109.7700000000000000"
"Udaipur","109.77","109.7700000000000000"
"Cuernavaca","109.76","109.7600000000000000"
"Zanzibar","109.75","109.7500000000000000"
"Baicheng","109.73","109.7300000000000000"
"Nabereznyje Telny","109.73","109.7300000000000000"
"Kurgan","109.73","109.7300000000000000"
"Mwanza","109.72","109.7200000000000000"
"Kamjanets-Podilskyi","109.72","109.7200000000000000"
"Shanwei","109.71","109.7100000000000000"
"Benin City","108.78","108.7800000000000000"
"Jining","108.77","108.7700000000000000"
"Ogbomosho","108.76","108.7600000000000000"
"al-Manama","108.76","108.7600000000000000"
"Sivas","108.75","108.7500000000000000"
"Sumqayit","108.75","108.7500000000000000"
"Akishima","108.73","108.7300000000000000"
"Ciomas","108.72","108.7200000000000000"
"Chandrapur","108.71","108.7100000000000000"
"Donostia-San Sebastin","107.79","107.7900000000000000"
"Plock","107.78","107.7800000000000000"
"Guaruj","107.77","107.7700000000000000"
"Dhaka","107.74","107.7400000000000000"
"Soshanguve","107.73","107.7300000000000000"
"Weifang","107.73","107.7300000000000000"
"Batna","107.73","107.7300000000000000"
"Pyongyang","107.71","107.7100000000000000"
"Poos de Caldas","107.70","107.7000000000000000"
"San Felipe de Puerto Plata","107.70","107.7000000000000000"
"Bandar Seri Begawan","107.66","107.6600000000000000"
"Stockport","106.79","106.7900000000000000"
"Mexicali","106.77","106.7700000000000000"
"Iwaki","106.77","106.7700000000000000"
"Bern","106.76","106.7600000000000000"
"Jalib al-Shuyukh","106.75","106.7500000000000000"
"Johannesburg","106.74","106.7400000000000000"
"Pemalang","106.74","106.7400000000000000"
"Rockford","106.73","106.7300000000000000"
"Ljubertsy","106.73","106.7300000000000000"
"Liepaja","106.73","106.7300000000000000"
"A Corua (La Corua)","106.72","106.7200000000000000"
"Hohhot","106.68","106.6800000000000000"
"Smolensk","105.78","105.7800000000000000"
"Sogamoso","105.78","105.7800000000000000"
"Santa F","105.78","105.7800000000000000"
"Kisumu","105.77","105.7700000000000000"
"Dayton","105.77","105.7700000000000000"
"Kuching","105.76","105.7600000000000000"
"Dallas","105.76","105.7600000000000000"
"Iwatsuki","105.74","105.7400000000000000"
"Nador","105.74","105.7400000000000000"
"Augusta-Richmond County","105.73","105.7300000000000000"
"Tartu","105.72","105.7200000000000000"
"Munger (Monghyr)","105.70","105.7000000000000000"
"San Lorenzo","104.79","104.7900000000000000"
"Sultanbeyli","104.78","104.7800000000000000"
"Kowloon and New Kowloon","104.76","104.7600000000000000"
"Etawah","104.75","104.7500000000000000"
"Ipoh","104.75","104.7500000000000000"
"Rustenburg","104.74","104.7400000000000000"
"Kamarhati","104.74","104.7400000000000000"
"Shikarpur","104.73","104.7300000000000000"
"Atinsk","104.72","104.7200000000000000"
"Tongliao","104.71","104.7100000000000000"
"Ede","103.78","103.7800000000000000"
"Patiala","103.77","103.7700000000000000"
"Owo","103.77","103.7700000000000000"
"Sunnyvale","103.74","103.7400000000000000"
"Uijongbu","103.74","103.7400000000000000"
"Bhusawal","103.74","103.7400000000000000"
"Jaffna","103.73","103.7300000000000000"
"Mardan","103.73","103.7300000000000000"
"Sharja","102.78","102.7800000000000000"
"Novi Sad","102.77","102.7700000000000000"
"Celaya","102.76","102.7600000000000000"
"al-Ayn","102.76","102.7600000000000000"
"Po","102.75","102.7500000000000000"
"Tabora","102.75","102.7500000000000000"
"Lipetsk","101.79","101.7900000000000000"
"Dongying","101.78","101.7800000000000000"
"Jelets","101.77","101.7700000000000000"
"Garden Grove","101.76","101.7600000000000000"
"Compton","101.72","101.7200000000000000"
"Tandil","101.70","101.7000000000000000"
"Acua","100.77","100.7700000000000000"
"Czestochowa","100.76","100.7600000000000000"
"Chungho","100.76","100.7600000000000000"
"Halle/Saale","100.75","100.7500000000000000"
"Vicente Lpez","100.75","100.7500000000000000"
"Pune","100.72","100.7200000000000000"
"Isesaki","99.78","99.7800000000000000"
"Sagamihara","99.77","99.7700000000000000"
"Ahmadnagar","99.74","99.7400000000000000"
"Vaduz","99.74","99.7400000000000000"
"Bucuresti","99.73","99.7300000000000000"
"Ueda","99.72","99.7200000000000000"
"Abu Dhabi","99.71","99.7100000000000000"
"South Hill","99.68","99.6800000000000000"
"Kimberley","98.82","98.8200000000000000"
"Jamalpur","98.77","98.7700000000000000"
"Allappuzha (Alleppey)","98.76","98.7600000000000000"
"Vitria de Santo Anto","98.75","98.7500000000000000"
"San Juan Bautista Tuxtepec","98.75","98.7500000000000000"
"Higashiosaka","98.75","98.7500000000000000"
"Iligan","98.74","98.7400000000000000"
"Adoni","97.80","97.8000000000000000"
"Cayenne","97.80","97.8000000000000000"
"Florencia","97.79","97.7900000000000000"
"Deba Habe","97.78","97.7800000000000000"
"Sokoto","97.78","97.7800000000000000"
"ostka","97.78","97.7800000000000000"
"Firozabad","97.78","97.7800000000000000"
"Varanasi (Benares)","97.77","97.7700000000000000"
"Monywa","97.75","97.7500000000000000"
"Jos Azueta","97.75","97.7500000000000000"
"Bhavnagar","96.79","96.7900000000000000"
"Salinas","96.79","96.7900000000000000"
"Palghat (Palakkad)","96.79","96.7900000000000000"
"Bamenda","96.78","96.7800000000000000"
"Springs","96.78","96.7800000000000000"
"Allende","96.77","96.7700000000000000"
"Citrus Heights","96.77","96.7700000000000000"
"Trshavn","96.76","96.7600000000000000"
"Escobar","96.76","96.7600000000000000"
"Effon-Alaiye","96.76","96.7600000000000000"
"Laohekou","96.75","96.7500000000000000"
"Madiun","96.75","96.7500000000000000"
"Rio Claro","96.74","96.7400000000000000"
"Rajkot","95.80","95.8000000000000000"
"Ivanovo","95.79","95.7900000000000000"
"Carmen","95.79","95.7900000000000000"
"Pereira","95.78","95.7800000000000000"
"La Paz","95.78","95.7800000000000000"
"Livorno","95.78","95.7800000000000000"
"Yuzhou","95.78","95.7800000000000000"
"Ziguinchor","95.76","95.7600000000000000"
"Haiphong","95.76","95.7600000000000000"
"Xinxiang","95.76","95.7600000000000000"
"Botshabelo","95.72","95.7200000000000000"
"Sal","94.81","94.8100000000000000"
"Hidalgo","94.78","94.7800000000000000"
"Shivapuri","94.78","94.7800000000000000"
"Warren","94.77","94.7700000000000000"
"Esfahan","94.76","94.7600000000000000"
"Jakarta","94.76","94.7600000000000000"
"Tel Aviv-Jaffa","94.76","94.7600000000000000"
"Caracas","94.75","94.7500000000000000"
"Birgunj","93.83","93.8300000000000000"
"Benguela","93.80","93.8000000000000000"
"Newcastle","93.80","93.8000000000000000"
"So Leopoldo","93.79","93.7900000000000000"
"San Felipe del Progreso","93.79","93.7900000000000000"
"Rampur","93.78","93.7800000000000000"
"Funafuti","93.78","93.7800000000000000"
"Tama","93.76","93.7600000000000000"
"Namibe","93.75","93.7500000000000000"
"Anpolis","93.75","93.7500000000000000"
"Kermanshah","93.74","93.7400000000000000"
"Yamuna Nagar","93.74","93.7400000000000000"
"Juazeiro do Norte","92.81","92.8100000000000000"
"So Bernardo do Campo","92.80","92.8000000000000000"
"Angra dos Reis","92.80","92.8000000000000000"
"Okinawa","92.79","92.7900000000000000"
"Mahajanga","92.79","92.7900000000000000"
"Sucre","92.78","92.7800000000000000"
"Suihua","92.78","92.7800000000000000"
"Battambang","92.76","92.7600000000000000"
"Bayugan","92.75","92.7500000000000000"
"Peoria","92.75","92.7500000000000000"
"Emmen","92.75","92.7500000000000000"
"Talavera","91.81","91.8100000000000000"
"Okayama","91.81","91.8100000000000000"
"Bellevue","91.80","91.8000000000000000"
"Nanyang","91.79","91.7900000000000000"
"al-Qatif","91.78","91.7800000000000000"
"Witten","91.78","91.7800000000000000"
"Addis Abeba","91.77","91.7700000000000000"
"Cuautla","91.75","91.7500000000000000"
"Monclova","91.75","91.7500000000000000"
"Aparecida de Goinia","90.78","90.7800000000000000"
"Tuguegarao","90.78","90.7800000000000000"
"Sanya","90.77","90.7700000000000000"
"Kimchon","90.77","90.7700000000000000"
"Arak","90.75","90.7500000000000000"
"Gingoog","90.73","90.7300000000000000"
"Haining","89.80","89.8000000000000000"
"Guadalajara","89.78","89.7800000000000000"
"Faaa","89.78","89.7800000000000000"
"Chiayi","89.78","89.7800000000000000"
"Baku","89.78","89.7800000000000000"
"Eskisehir","89.77","89.7700000000000000"
"Bchar","89.77","89.7700000000000000"
"Ondo","89.77","89.7700000000000000"
"Idfu","89.77","89.7700000000000000"
"Buenaventura","89.77","89.7700000000000000"
"Kurashiki","89.76","89.7600000000000000"
"Halifax","89.76","89.7600000000000000"
"Yaound","89.71","89.7100000000000000"
"Coacalco de Berriozbal","88.81","88.8100000000000000"
"Tianjin","88.81","88.8100000000000000"
"Mwene-Ditu","88.80","88.8000000000000000"
"Alessandria","88.80","88.8000000000000000"
"Jaipur","88.78","88.7800000000000000"
"Amersfoort","88.78","88.7800000000000000"
"Uttarpara-Kotrung","88.77","88.7700000000000000"
"Nagareyama","88.76","88.7600000000000000"
"Torren","88.75","88.7500000000000000"
"Taguig","88.73","88.7300000000000000"
"Elista","87.82","87.8200000000000000"
"Gorontalo","87.81","87.8100000000000000"
"Kanazawa","87.80","87.8000000000000000"
"Gatineau","87.80","87.8000000000000000"
"Arlington","87.80","87.8000000000000000"
"Vinh","87.80","87.8000000000000000"
"Asuncin","87.79","87.7900000000000000"
"Oshawa","87.79","87.7900000000000000"
"guas Lindas de Gois","87.78","87.7800000000000000"
"Sullana","87.77","87.7700000000000000"
"Zeleznogorsk","87.77","87.7700000000000000"
"Chapra","86.82","86.8200000000000000"
"Ashqelon","86.81","86.8100000000000000"
"Siegen","86.81","86.8100000000000000"
"Shimoga","86.81","86.8100000000000000"
"Lublin","86.81","86.8100000000000000"
"Xiangtan","86.80","86.8000000000000000"
"Sambhal","86.79","86.7900000000000000"
"Zaria","86.77","86.7700000000000000"
"Abha","86.77","86.7700000000000000"
"Katihar","86.76","86.7600000000000000"
"Phnom Penh","86.75","86.7500000000000000"
"Balurghat","86.75","86.7500000000000000"
"Garland","86.75","86.7500000000000000"
"Nezahualcyotl","86.73","86.7300000000000000"
"Serpuhov","85.80","85.8000000000000000"
"La Romana","85.80","85.8000000000000000"
"El Alto","85.78","85.7800000000000000"
"Almirante Brown","85.78","85.7800000000000000"
"Manchester","85.78","85.7800000000000000"
"Crdoba","85.77","85.7700000000000000"
"Araatuba","85.77","85.7700000000000000"
"Hamilton","85.77","85.7700000000000000"
"Surakarta","85.75","85.7500000000000000"
"Pangkal Pinang","84.84","84.8400000000000000"
"Balaiha","84.81","84.8100000000000000"
"Konotop","84.81","84.8100000000000000"
"Valencia","84.80","84.8000000000000000"
"Cheju","84.80","84.8000000000000000"
"Hiroshima","84.79","84.7900000000000000"
"Laredo","84.75","84.7500000000000000"
"Clarksville","83.82","83.8200000000000000"
"Gaziantep","83.81","83.8100000000000000"
"Kilis","83.80","83.8000000000000000"
"Dhule (Dhulia)","83.79","83.7900000000000000"
"Lausanne","83.78","83.7800000000000000"
"Hanoi","83.77","83.7700000000000000"
"Rizhao","82.81","82.8100000000000000"
"Xintai","82.78","82.7800000000000000"
"Salala","82.76","82.7600000000000000"
"Denizli","81.83","81.8300000000000000"
"Purwakarta","81.83","81.8300000000000000"
"Baha Blanca","81.81","81.8100000000000000"
"Ocumare del Tuy","81.81","81.8100000000000000"
"Kansas City","81.81","81.8100000000000000"
"Tabuk","81.80","81.8000000000000000"
"Hami","81.80","81.8000000000000000"
"Myingyan","81.78","81.7800000000000000"
"Mogiljov","81.76","81.7600000000000000"
"Stara Zagora","81.76","81.7600000000000000"
"Laiwu","81.75","81.7500000000000000"
"Kursk","80.85","80.8500000000000000"
"Sirjan","80.83","80.8300000000000000"
"Ciudad del Este","80.82","80.8200000000000000"
"Miraj","80.81","80.8100000000000000"
"s-Hertogenbosch","80.80","80.8000000000000000"
"Tambaram","80.78","80.7800000000000000"
"Valle de la Pascua","80.78","80.7800000000000000"
"Yingkou","80.77","80.7700000000000000"
"Bratislava","80.77","80.7700000000000000"
"Klerksdorp","79.81","79.8100000000000000"
"Callao","79.81","79.8100000000000000"
"Shahr-e Kord","79.80","79.8000000000000000"
"Ponce","79.80","79.8000000000000000"
"Lubumbashi","79.78","79.7800000000000000"
"Izumisano","79.75","79.7500000000000000"
"Tsuyama","78.84","78.8400000000000000"
"Tieli","78.82","78.8200000000000000"
"Kaduna","78.81","78.8100000000000000"
"Paarl","78.80","78.8000000000000000"
"Masqat","78.80","78.8000000000000000"
"Saint Louis","78.79","78.7900000000000000"
"Oulu","78.79","78.7900000000000000"
"Saarbrcken","78.78","78.7800000000000000"
"Junan","78.77","78.7700000000000000"
"Mandi Bahauddin","77.84","77.8400000000000000"
"Brest","77.81","77.8100000000000000"
"Qalyub","77.81","77.8100000000000000"
"Gijn","77.80","77.8000000000000000"
"Huaian","77.79","77.7900000000000000"
"Toulon","77.78","77.7800000000000000"
"San Miguel de Tucumn","77.77","77.7700000000000000"
"Maring","76.82","76.8200000000000000"
"Zalantun","76.80","76.8000000000000000"
"Grand Prairie","76.80","76.8000000000000000"
"Jodhpur","76.78","76.7800000000000000"
"al-Hawiya","75.83","75.8300000000000000"
"Kalisz","75.81","75.8100000000000000"
"Ranchi","75.80","75.8000000000000000"
"Alvorada","75.79","75.7900000000000000"
"Luzinia","75.78","75.7800000000000000"
"Ezeiza","75.78","75.7800000000000000"
"Hino","74.84","74.8400000000000000"
"Hoshiarpur","74.83","74.8300000000000000"
"Chatsworth","74.83","74.8300000000000000"
"Adana","74.81","74.8100000000000000"
"El Monte","74.80","74.8000000000000000"
"Pavlodar","74.79","74.7900000000000000"
"Dundee","74.77","74.7700000000000000"
"Bag","73.85","73.8500000000000000"
"Roanoke","73.83","73.8300000000000000"
"Okara","73.82","73.8200000000000000"
"Nagaon","73.81","73.8100000000000000"
"Kamakura","73.81","73.8100000000000000"
"Syktyvkar","73.81","73.8100000000000000"
"Beni-Mellal","73.80","73.8000000000000000"
"Sousse","73.78","73.7800000000000000"
"Patras","73.78","73.7800000000000000"
"Cianjur","73.76","73.7600000000000000"
"Pathankot","72.83","72.8300000000000000"
"Southport","72.82","72.8200000000000000"
"Braslia","72.82","72.8200000000000000"
"Bradford","72.79","72.7900000000000000"
"Kaliningrad","71.85","71.8500000000000000"
"Jaroslavl","71.84","71.8400000000000000"
"Bislig","71.81","71.8100000000000000"
"Dzerzinsk","71.80","71.8000000000000000"
"Inegl","71.79","71.7900000000000000"
"Matamoros","71.77","71.7700000000000000"
"Shenzhen","70.82","70.8200000000000000"
"Hagonoy","70.82","70.8200000000000000"
"Sanaa","70.81","70.8100000000000000"
"Gulbarga","70.81","70.8100000000000000"
"Gandhinagar","69.83","69.8300000000000000"
"Jurez","69.79","69.7900000000000000"
"Zaoyang","69.79","69.7900000000000000"
"Ibirit","68.87","68.8700000000000000"
"Zapopan","68.84","68.8400000000000000"
"Udine","68.82","68.8200000000000000"
"Matsue","68.81","68.8100000000000000"
"Korla","68.77","68.7700000000000000"
"Niznekamsk","67.86","67.8600000000000000"
"Rancagua","67.86","67.8600000000000000"
"Kabul","67.82","67.8200000000000000"
"Novoterkassk","66.82","66.8200000000000000"
"Tegal","66.81","66.8100000000000000"
"Barcelona","66.79","66.7900000000000000"
"Yantai","65.87","65.8700000000000000"
"Pachuca de Soto","65.83","65.8300000000000000"
"Ciparay","65.83","65.8300000000000000"
"Berhampore (Baharampur)","65.81","65.8100000000000000"
"Tarsus","64.85","64.8500000000000000"
"Nukualofa","64.84","64.8400000000000000"
"Kingstown","64.82","64.8200000000000000"
"Ezhou","63.84","63.8400000000000000"
"Tarlac","63.84","63.8400000000000000"
"Teboksary","63.79","63.7900000000000000"
"Vilnius","63.78","63.7800000000000000"
"Kanchrapara","62.85","62.8500000000000000"
"Santiago de Compostela","62.84","62.8400000000000000"
"Koriyama","61.82","61.8200000000000000"
"Hubli-Dharwad","59.86","59.8600000000000000"
"Le Mans","59.83","59.8300000000000000"
"Linz","58.83","58.8300000000000000"
"Tete","58.82","58.8200000000000000"
"Basel","57.87","57.8700000000000000"
"al-Qadarif","57.81","57.8100000000000000"
"Oyo","54.85","54.8500000000000000"
"Valle de Santiago","52.81","52.8100000000000000"
"Tsaotun","50.83","50.8300000000000000"
"Enshi","49.88","49.8800000000000000"
"Tafuna","47.85","47.8500000000000000"
"Tallahassee","37.87","37.8700000000000000"
"Fuzhou","32.90","32.9000000000000000"
"Bydgoszcz","27.93","27.9300000000000000"
